table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Cumulative Estimates of Resident Population Change for Incorporated Places of 50,000 or More in 2020, Ranked by Percent Change: April 1, 2020 to July 1, 2022",,,,,
Rank,Geographic Area,Population Estimate,,"Change, 2020 to 2022",
208,"Tigard city, Oregon","54,816","55,762",946,1.7
209,"Santa Fe city, New Mexico","87,503","89,008","1,505",1.7
210,"Chandler city, Arizona","276,010","280,711","4,701",1.7
211,"Palm Beach Gardens city, Florida","59,174","60,175","1,001",1.7
212,"Visalia city, California","141,574","143,966","2,392",1.7
213,"McAllen city, Texas","142,195","144,579","2,384",1.7
214,"Chattanooga city, Tennessee","181,057","184,086","3,029",1.7
215,"Seattle city, Washington","737,018","749,256","12,238",1.7
216,"Jonesboro city, Arkansas","78,575","79,876","1,301",1.7
217,"Miami city, Florida","442,260","449,514","7,254",1.6
218,"Mesa city, Arizona","504,300","512,498","8,198",1.6
219,"Boca Raton city, Florida","97,439","99,009","1,570",1.6
220,"Albany city, New York","99,233","100,826","1,593",1.6
221,"Temecula city, California","109,994","111,752","1,758",1.6
222,"Rancho Cordova city, California","79,332","80,598","1,266",1.6
223,"Moreno Valley city, California","208,640","211,924","3,284",1.6
224,"Blue Springs city, Missouri","58,613","59,518",905,1.5
225,"Corona city, California","157,154","159,567","2,413",1.5
226,"Bakersfield city, California","404,440","410,647","6,207",1.5
227,"Columbus city, Indiana","50,498","51,268",770,1.5
228,"Pittsburg city, California","76,409","77,572","1,163",1.5
229,"Fort Wayne city, Indiana","263,914","267,927","4,013",1.5
230,"Glendale city, Arizona","248,374","252,136","3,762",1.5
231,"Colorado Springs city, Colorado","479,016","486,248","7,232",1.5
232,"Doral city, Florida","75,875","76,983","1,108",1.5
233,"Joplin city, Missouri","51,765","52,518",753,1.5
234,"Midland city, Texas","132,524","134,444","1,920",1.4
235,"Plano city, Texas","285,469","289,547","4,078",1.4
236,"Brownsville city, Texas","186,717","189,382","2,665",1.4
237,"Lodi city, California","66,336","67,258",922,1.4
238,"St. Peters city, Missouri","57,731","58,523",792,1.4
239,"New Brunswick city, New Jersey","55,252","55,998",746,1.4
240,"Chula Vista city, California","275,500","279,170","3,670",1.3
241,"Austin city, Texas","961,900","974,447","12,547",1.3
242,"Kingsport city, Tennessee","55,441","56,150",709,1.3
243,"Norman city, Oklahoma","127,991","129,627","1,636",1.3
244,"Lawton city, Oklahoma","90,387","91,542","1,155",1.3
245,"Summerville town, South Carolina","50,973","51,617",644,1.3
246,"Rock Hill city, South Carolina","74,409","75,349",940,1.3
247,"Chesapeake city, Virginia","249,415","252,488","3,073",1.2
248,"Richmond city, Virginia","226,618","229,395","2,777",1.2
249,"Tacoma city, Washington","219,175","221,776","2,601",1.2
250,"Grapevine city, Texas","50,636","51,226",590,1.2
251,"Madison city, Wisconsin","269,769","272,903","3,134",1.2
252,"Salem city, Oregon","175,472","177,487","2,015",1.1
253,"St. Petersburg city, Florida","258,356","261,256","2,900",1.1
254,"Bismarck city, North Dakota","73,625","74,445",820,1.1
255,"Longview city, Texas","81,640","82,531",891,1.1
256,"North Richland Hills city, Texas","69,911","70,663",752,1.1
257,"Champaign city, Illinois","88,293","89,241",948,1.1
258,"Pinellas Park city, Florida","53,094","53,653",559,1.1
259,"Dunwoody city, Georgia","51,667","52,201",534,1.0
260,"Homestead city, Florida","80,734","81,562",828,1.0
261,"Layton city, Utah","81,780","82,601",821,1.0
262,"Thornton city, Colorado","141,862","143,282","1,420",1.0
263,"St. Cloud city, Minnesota","68,882","69,568",686,1.0
264,"Mission city, Texas","85,787","86,635",848,1.0
265,"Kissimmee city, Florida","79,224","80,003",779,1.0
266,"Rancho Cucamonga city, California","174,624","176,336","1,712",1.0
267,"Kennewick city, Washington","83,929","84,750",821,1.0
